日期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2025-09-30,180000000.0,103.16,71275800.0,101.24,7397000000.0,-26.5,0.11,25.84,14.47,9.48,1.34,29.54,38.98,0.43,0.42,167.23,1.83,147.53,19.7,3.18,2.2,2.01,0.53,30.5
2025-06-30,84410600.0,101.62,1320000.0,100.03,4833000000.0,-24.71,0.05,25.54,14.47,9.39,1.11,31.29,39.73,0.2,0.2,166.52,1.2,149.4,17.12,2.73,1.88,1.77,0.55,31.44
2025-03-31,104000000.0,102.68,44425500.0,101.13,2584000000.0,-0.02,0.06,25.46,14.46,9.41,0.58,30.28,44.31,0.25,0.25,163.67,0.62,145.58,18.09,2.52,1.83,1.69,0.54,31.33
2024-12-31,-7905000000.0,-208.32,-7923000000.0,-210.4,13063000000.0,-67.75,-4.82,25.53,14.48,9.32,3.38,-0.22,46.07,-16.92,-18.87,205.83,2.59,138.99,66.84,2.55,1.73,1.44,0.47,28.39
2024-09-30,-5701000000.0,-170.4,-5737000000.0,-171.87,10065000000.0,-69.87,-3.48,26.51,14.48,10.66,2.55,17.23,49.03,-11.95,-13.1,226.1,1.79,150.88,75.22,2.8,1.9,1.7,0.46,28.43
2024-06-30,-5206000000.0,-180.68,-5221000000.0,-181.45,6419000000.0,-74.14,-3.18,27.16,14.47,10.96,1.36,7.21,51.81,-10.65,-11.68,260.56,1.02,176.61,83.96,3.44,2.21,2.0,0.43,27.65
2024-03-31,-3897000000.0,-179.93,-3917000000.0,-180.99,2585000000.0,-77.42,-2.38,29.14,14.47,13.11,1.92,-32.13,48.39,-7.85,-8.15,305.83,0.43,207.28,98.55,3.25,2.27,2.14,0.36,24.48
2023-12-31,7297000000.0,-69.75,7177000000.0,-68.88,40503000000.0,0.13,4.45,31.39,14.46,15.48,13.82,63.36,84.99,14.61,14.16,208.67,2.3,156.71,51.97,2.95,2.14,2.13,0.37,25.94
2023-09-30,8098999999.999999,-49.33,7981999999.999999,-46.5,33399000000.0,35.52,4.93,32.06,14.4,15.97,12.21,66.98,86.64,15.79,15.39,225.04,1.62,166.94,58.09,2.17,1.62,1.51,0.43,30.59
2023-06-30,6452000000.0,-37.52,6409999999.999999,-30.93,24823000000.0,73.64,3.93,31.19,14.21,14.97,7.37,66.43,87.12,12.34,12.6,205.73,1.21,148.37,57.36,2.76,2.23,1.99,0.43,28.61
2023-03-31,4875000000.0,46.49,4836000000.0,70.67,11449000000.0,117.77,2.97,32.28,14.2,17.01,3.01,73.84,89.8,9.61,9.2,262.76,0.44,204.13,58.63,3.27,2.73,2.32,0.36,25.73
2022-12-31,24125000000.0,1060.47,23059000000.0,1628.88,40449000000.0,427.82,15.52,29.55,14.19,14.04,12.37,76.91,85.12,80.65,49.75,125.92,3.99,90.21,35.71,3.44,3.05,2.7,0.37,25.09
2022-09-30,15981000000.0,2916.44,14919999999.999998,12338.69,24646000000.0,536.4,10.48,25.0,14.2,9.3,7.15,79.34,85.53,65.19,38.94,144.75,2.37,113.79,30.97,1.47,1.29,0.98,0.39,25.53
2022-06-30,10328000000.0,11937.16,9281000000.0,47868.08,14296000000.0,508.05,6.99,15.66,8.26,6.5,4.78,83.98,84.26,57.54,44.65,119.66,1.89,95.05,24.61,0.98,0.86,0.66,1.05,45.55
2022-03-31,3328000000.0,1442.65,2834000000.0,1883.09,5257000000.0,481.41,2.25,11.21,8.32,1.76,2.6,74.86,85.28,22.7,20.1,135.57,0.78,115.24,20.33,0.61,0.49,0.4,1.46,51.85
