日期,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润
2025-09-30,138792000000.0,,4430000000.0,136733999999.99998,8595000000.0,12393000000.0,59109000000.0,7567000000.0,98537000000.0,38197000000.0,13105000000.000002,80202900.0,87000.0,24708300.0,13210000000.0,2283000000.0,16346000000.0,4808700.0,18634000000.0,-5423000000.0,,,,,,37213000000.0,6031000000.0,43244000000.0,-43244000000.0,2742500.0,-10468000000.0,169970000000.0,159502000000.0,
2025-06-30,95087000000.0,,3959000000.000001,98003000000.0,6076000000.0,9966000000.0,41670000000.0,4072000000.0,84883000000.0,13119000000.0,1345000000.0,37527000.0,47400.0,2342600.0,1385000000.0,1596000000.0,100000000.0,3408100.0,1698999999.9999998,-314000000.0,,,,,,34671000000.0,5222000000.0,39893000000.0,-39893000000.0,3277000.0,-27085000000.000004,169970000000.0,142885000000.0,46987000000.0
2025-03-31,56144000000.00001,,1689000000.0,50584000000.0,2663000000.0,7662000000.0,22168000000.0,1127000000.0,41775000000.0,8809000000.0,245000000.00000003,32397300.0,7800.0,1692000.0,279000000.0,901000000.0,,2350600.0,903000000.0,-624000000.0,,,,,,,1607000000.0,1607000000.0,-1607000000.0,832600.0,6578000000.0,169970000000.0,176548000000.0,
2024-12-31,182645000000.0,,3258000000.0,200086000000.0,10825000000.0,15353000000.0,77056000000.0,9015000000.0,107623000000.0,92464000000.0,8550000000.0,92382200.0,715699.9999999999,5532500.0,8649000000.0,4679000000.0,5745000000.0,9985000.0,10434000000.0,-1785000000.0000002,,,,,,70951000000.0,116000000.0,71068000000.0,-71068000000.0,-1082700.0,19610000000.0,150360000000.0,169970000000.0,89335000000.0
2024-09-30,129684999999.99998,2818200.0,2374000000.0,134638000000.00002,8148999999.999999,12669000000.0,56721000000.0,6992000000.0,90217000000.0,44421000000.0,6200000000.0,68399500.0,75000.0,5532500.0,6274000000.0,2874000000.0,4000000000.0,5049800.0,6879000000.000001,-605000000.0,,,,,,38942000000.0,46854600.0,38989000000.0,-38989000000.0,-65400.0,4827000000.0,150360000000.0,155187000000.0,
2024-06-30,87094000000.0,2818200.0,2259000000.0,102242000000.0,4960000000.0,10032000000.0,38982000000.0,4017000000.0,65620000000.00001,36622000000.0,2600000000.0,31308100.0,74500.0,5232500.0,2637000000.0,1531000000.0,4000000000.0,4483800.0,5535000000.0,-2899000000.0,,,,,,38786000000.0,29276700.0,38816000000.0,-38816000000.0,-699000.0,-5093000000.0,150360000000.0,145267000000.0,43177000000.0
2024-03-31,46257000000.0,,1228000000.0,44546000000.0,1516000000.0,7200000000.0,20727000000.0,2423000000.0,35358000000.0,9187000000.0,,27478500.0,66000.0,5122200.0,32666700.0,796000000.0,,3090100.0,799000000.0,-767000000.0,,,,,,,11756300.000000002,11756300.000000002,-11756300.000000002,-671800.0000000001,8408000000.0,150360000000.0,158769000000.0,
2023-12-31,163700000000.0,1500000.0,2346000000.0,168256000000.0,11029000000.0,13844999999.999998,66683000000.00001,7944000000.0,101663000000.0,66592999999.99999,7550000000.0,141000000.0,24948400.0,4605900.0,7720000000.0,2620000000.0,14818000000.0,7021900.000000001,17445000000.0,-9724000000.0,,,,,,58754999999.99999,134000000.0,58889000000.0,-58889000000.0,1718300.0000000002,-2019000000.0,152379000000.0,150360000000.0,77521000000.0
2023-09-30,111254000000.0,1500000.0,2282000000.0,112509999999.99998,7831999999.999999,11136000000.0,49077000000.0,4982000000.0,62508000000.00001,50002000000.0,2000000000.0,129000000.0,934700.0,3726800.0,2134000000.0,1945000000.0,8500000000.0,6071200.0,10450000000.0,-8316000000.0,,,,,,34661000000.0,63292200.0,34725000000.0,-34725000000.0,635000.0,6961000000.0,152379000000.0,159340000000.0,
2023-06-30,69073000000.0,1500000.0,1542000000.0,68789000000.0,6074000000.0,9000000000.0,32876000000.0,2866000000.0,38402000000.0,30387000000.0,2000000000.0,128000000.0,806400.0,1273000.0,2130000000.0,1405000000.0,1200000000.0,5439500.0,2610000000.0,-480000000.0,,,,,,32549000000.0,48152200.0,32597000000.000004,-32597000000.000004,1917100.0,-2689000000.0,152379000000.0,149690000000.0,37332000000.0
2023-03-31,35763000000.0,,348000000.0,31954000000.000004,2910000000.0,6355000000.0,17181000000.0,2230000000.0,26708999999.999996,5245000000.0,2000000000.0,128000000.0,8800.0,459000.0,2128000000.0,906000000.0,1000000000.0,4391400.0,1910000000.0,218000000.00000003,,,,,,,23120000.0,23120000.0,-23120000.0,295000.0,5440000000.0,152379000000.0,157819000000.0,
2022-12-31,140692000000.0,33191900.0,2759000000.0,137816000000.0,8358000000.0,11752000000.0,62042999999.99999,5123000000.0,101117000000.0,36699000000.0,,5880000.0,355100.0,4971800.0,11206900.0,5307000000.0,210000000.0,31486800.0,5548000000.0,-5537000000.0,,,,,,57370000000.00001,54332800.0,57425000000.0,-57425000000.0,911100.0,-26262000000.0,178641000000.0,152379000000.0,65376000000.0
2022-09-30,96028000000.0,,1898000000.0,87046000000.0,6561000000.0,9455000000.0,48192000000.0,2887000000.0,77641000000.0,9405000000.0,,,234000.0,4790500.0,5024500.0,2639000000.0,10000000.0,27186600.0,2676000000.0,-2671000000.0,,,,,,29823000000.0,42243300.0,29864999999.999996,-29864999999.999996,-708600.0,-23131000000.0,178641000000.0,155509000000.0,
2022-06-30,61157000000.00001,,1723000000.0,59654000000.0,4533000000.0,7336000000.0,34105000000.0,2332000000.0,59665000000.0,-11163900.000000002,,,221300.0,3911800.0,4133100.0,1686000000.0,,23671700.0,1710000000.0000002,-1705000000.0,,,,,,28293000000.0,25224800.0,28319000000.0,-28319000000.0,-653199.9999999999,-30036000000.0,178641000000.0,148605000000.0,31105000000.0
2022-03-31,31488000000.0,,935000000.0,23413000000.0,2656000000.0,5432000000.0,18504000000.0,809000000.0,30289000000.0,-6876000000.000001,,,138200.0,2573300.0,2711500.0,1223000000.0,,19625600.0,1243000000.0,-1240000000.0,,,,,,,3846100.0,3846100.0,-3846100.0,-397000.0,-8120000000.0,178641000000.0,170520000000.0,
